author	comment	vote
水巷邻里	有胡歌一定看	3
邓一南37	1981女排纪录片 拼搏，给女排做报告的 沈洁。 攀登珠峰。	0
侠之大者	我想知道有没有毛主席和周总理的戏份。哈哈	7
小城	期待期待	1
半夏花开	吴京和胡歌	4
就爱海贼王	This moive is the mouthpiece of the government	2
哈哈镜	我也想在荧幕上看看祖国的大好河山	0
站在远处看世界	演员阵容认人期待，导演让人心慌，坐等打脸！	0
霱汌	不知道是不是年纪大了 泪点特别低 中华民族是一个苦难深重的民族 但是我们从来没有放弃站起来 跑起来 强起来	3
黄石南	今年70周年献礼片里面想看的三部之一	0
赋奇朝	买票了	0
柳三石	珠峰，译哥，胡歌	2
太清	最大的问题是导演，飞碟帽	2
呜7吗黑	其实我不想看	1
浮尘	真实历史改编，非常期待，希望有出色的成绩。	0
蒲浦	全实力派阵容，无流量明星，导演还行（持怀疑态度），编剧阿来不必多说。是一部值得期待的电影，必看预订。	1
神奇青卿	我就是喜欢吴京啊	0
YellowBig	刚微信认识了里面的一个演员🤣	2
塞北孤天寂	吴京	1
yan༂༇mm	李仁港？我想骂人。。。	0
三十七度二	我能想象到电影一上映会有各种评价。但是我一如既往地支持吴京。虽然我不是他的粉，我只是喜欢看他的有质量的电影。	3
豆荚都煮不熟	吴京诶，这就是看的理由，有个好牌子实在太可贵了	2
Steve Jobs	期待两条爱情线能够给我们革命爱情的感觉，也期待国内能拍出勇登珠峰的刺激感。永远支持吴京大哥和章子怡姐姐	0
暮云溢清寒	徐老怪？？？七剑上天山。	0
摆渡人3747	标签提示？原来是献礼片吗？😳	0
染衣y	阵容强大，很大期望	0
摸鱼儿	没有比脚更长的路，没有比人更高的山	1
追剧者	吴京和张译，我还有什么不去看的理由？	1
老G	我要和你林叔叔一起看首映！	2
慕容嘉	希望导演不要搞砸了呀，想起之前李仁港导演的历史片就很心累	1
CrisQ	阿来。。期待下	0
一根好香蕉🍌	只担心导演...	2
梦幻哥哥	我京哥的电影必看	0
lalaever	这个导演豆瓣几乎没有一部破6的电影 居然还能孜孜不倦地拍下去 可惜这阵容了真是666666	3
大瓢儿	这个演员阵容，必须期待	2
小葱拌豆腐	非常想看！！	1
大鼻子爷爷	我不管了，作为无脑的我，就要去帮衬。	0
滑稽面对一切	这部戏的导演不是吴京，所以在主旋律方面可能有不足！	3
刚刚走过	好电影，期待	2
坏蛋的棉花糖	必看！！！
感动！！！	1
青辰	期待吴京	0
yola	胡歌	3
给你们看	不知道恐高会不会影响观看体验	0
长乐无极	期待一下，希望不要成为赤裸裸的教育片噢，我还是喜欢润物细无声	0
麦克斯之眼	作为国庆档主打，同时也是一部优秀的记录型电影，也是反映那年代人优秀品质的电影，也是一众实力派演员的表演，这个阵容让我没理由的支持。同时也希望有越来越多这种反映中国精神的电影出现在大银幕，中国梦加油！	0
璀璨	我就想看，我就要看	5
大伟	20190507	0
路过熊猫	编剧、演员、故事题材都没问题，完全是冲着精品去的，但是李仁港大导演实在是最大的不确定因素啊，毕竟到目前为止还没有拍出一部真正拿的出手的作品。	1
鞭长莫及	这个导演拍的啊，你们先看先提意见。。。	0
福雷斯特冈普	口碑必爆。	2
CHENYI	国内顶配明星 希望不要煮成一锅粥	0
reader	我会说我买了0.99的两张票？	0
ACE	题材好、演员好、卖相好，但是导演李仁港真的让人惴惴不安，被他带跑偏的演员不是一批两批了，有待观望！！！	0
Itdovers	买好票了 期待期待	0
、坏小孩、	看着这个导演  感觉片子要凉一半	3
被惯坏的孩子	导演给点力啊	0
芯蕊喵~	胡歌！！！！！！！！！！！	2
北漂酱	前期宣传铺垫这么多。一看导演的前作，估计又要黄	0
几何	有张译的就想看😍😍	1
浑河	被最近魔幻国产电影洗脑 心急 想看看阿京哥还能不能再给我洗洗眼 现在中国电影真的有用心在做的一个徐峥 一个吴京 别的我真的一言难尽	0
lucking star	胡歌吴京章子怡演的必看	2
第五位面壁者	向中国的登山运动员致敬💪💪💪💪	3
萌萌哒的小鸭鸭	想看看章子怡	1
大禹是我祖先	为了张译，也要去电影院支持	4
鲁人鲁话	要么不拍，要拍就拍好。那个时代有很多激动人心的伟大成就，需要优秀的影视剧把它们表现出来。至于张艺谋之流那些哭哭啼啼卖惨的片子 ，反正我已经看恶心了，谁爱看谁看。	5
庸人自扰	火钳刘明	2
______CQ__	吴京 胡歌 张译 ，没有不看的理由	3
逆江、雨	励志！信念！朴实是一部好电影的开始！	0
Xiiiing	主旋律电影有吴京，就有了票房保障	0
小木	超级期待	1
少女小茉	这部电影大咖云集，想看看会擦出什么样的火花	1
宋微	这片肯定会爆。	0
糖心	i55	0
塞北鸿鹄	章子怡	2
花菜是人间绝色	导演让我有点不安	2
宇主子	吴京，成龙！	2
时小米_Q	明天去看~	0
摸仙娃子	用吴京打败吴京？！冲着吴京我也要去康！	0
豆友187505010	期待国庆	3
芋圆布丁爱上墙	译外京喜cp＋章子怡 我他娘的太期待了	0
穆红	为什么国外拍了一部徒手攀岩达9分，国内就立刻出了一部攀登者？
这是借势得一个好票房吗？
电影我没看过，但是以前看过登珠穆朗玛峰的真实纪录片。看过他们登山人遇到的风险和阻碍以及不易，那个才是实实切切感受到的。	0
一世求	非常期待这部电影啊
喜欢吴京，应该不会差吧	0
卖糕的	很期待，这个配置票房不会差。更期待下一部蛟龙号开拍。	0
洛水三迁	国庆也就这部能看。	1
erikcai	吴京章子怡胡歌 导演对各个观影群体的coverage很明确啊	1
特立独行的猪	呵呵 怎么也得破30亿 票房不够 单位学校包场支持	3
一直疯狂869	还没上就那么多黑的，那我肯定得支持一下啊。具体等看了再说。	0
余情未了	。	2
陌然	期待胡歌	3
驹隙	冲着阿来标记一下	2
董冬.	好奇一下	1
小菊花大淑女	吴京放过我	1
echo	这些人的演技还是很期待的	0
究竟彼岸	这个强大的阵容，只要不拍成烂片，必须值得买票观看	0
UshiTora	奶就完事了	2
火鸟szs	中国应该算是很少拍这种类型的电影，期待啊	1
律	就冲着故事背景，决定一定要去看下	0
夕兰	超级想看这类有精神内涵的写实电影	0
Ting.E=mc²	应该不错，就怕导演不行	2
城北徐公	前没有《战狼》爱国口碑营销，后没有《流浪地球》的硬核科幻实力，很可能达不到观众预期，高开低走，期望越高，失望越大。希望这是吴京又一力作，别扑gai。	1
水果拼盘	听说不错，放假了去看看	0
Creepy	喜欢这个阵容，可以去现场看偶像吗？	0
胡图图	虽然不是很想看zl，但是反正小太爷演啥我看啥	2
随缘·落i	这样的阵容不看不行。	2
求睡！只求被睡	首先要有人科普一下，为什么要攀登，好吧！突如其来的题材，挂上爱国的口号，真的有点别扭，	0
撒得巴何猜想'	国庆见	0
笑芳年	期待！	1
身为一个JM	《战狼二》对吴京真没啥过多好感，路人顶多，但是《流浪地球》让我对吴京路转粉，吴京真的很棒，是一个好演员，这次的《攀登者》一定会支持，因为里面也有胡歌，希望吴京继续加油，我们相信你，多拍些关于中国强大的电影。	2
已注销	超级期待！！！	0
放逐江湖	“为国登顶，寸土不让！”我希望每个人都去了解一下这部电影背后的故事，作为中国人，我会怀着骄傲敬畏之心去观看，这是一部电影，这也不只是一部电影。	0
水果拼盘	听说不错，放假了去看看	0
Creepy	喜欢这个阵容，可以去现场看偶像吗？	0
胡图图	虽然不是很想看zl，但是反正小太爷演啥我看啥	2
随缘·落i	这样的阵容不看不行。	2
求睡！只求被睡	首先要有人科普一下，为什么要攀登，好吧！突如其来的题材，挂上爱国的口号，真的有点别扭，	0
撒得巴何猜想'	国庆见	0
笑芳年	期待！	1
身为一个JM	《战狼二》对吴京真没啥过多好感，路人顶多，但是《流浪地球》让我对吴京路转粉，吴京真的很棒，是一个好演员，这次的《攀登者》一定会支持，因为里面也有胡歌，希望吴京继续加油，我们相信你，多拍些关于中国强大的电影。	2
已注销	超级期待！！！	0
放逐江湖	“为国登顶，寸土不让！”我希望每个人都去了解一下这部电影背后的故事，作为中国人，我会怀着骄傲敬畏之心去观看，这是一部电影，这也不只是一部电影。	0
秦时明月	这卡司可太豪华了。	1
已注销	攀登者预告片好像波司登的广告 吴京的片子看本子都很喜欢 看预告分分钟劝退[微笑]	1
灵犀	章子怡	0
绝命纸牌	虽然淘票票上这一部标记想看的人数最多，但从预告片的品质来看，这一部大概是国庆档三部里最弱的了……赶在预售期花13.6买了9月30号晚上的票，希望会有比票价更大的惊喜吧……	0
w_h_o萝北	惊险刺激动人	0
老马哪里会识途	导演让我有点害怕	0
鱼带盐	烂王之王李老师……算啦。不去看啦…	1
严大侠	抖音上看到的，想看！演员阵容可以的，不过看看导演以前的电影，额……我想如果让林超贤导演会更好！	0
肥达	想看	2
小草	期待一下	0
