author	comment	vote
已注销	看了预告？还是先导片？好震撼好想哭	8
Komorebi	190216)我家女演员终于有新戏拍了…	7
期待中的小屁屁	记住那段伟大的历史	4
梅婆小公举	一个前人从未涉及的领域，吴京挑剧本的眼光值得信赖，还有诸多实力演员加盟，超期待	5
纳兰风澈	神仙阵容啊！英国探险家乔治·马洛里，他曾在被问到为何想要攀登珠穆朗玛峰时颇有禅意的说：因为它，就在那！	4
郫县豆瓣	想看。但是没怎么搞懂，很多现代军事题材的剧不能用原型本名，怎么这部反映体育精神，想让更多人记住北坡首登珠峰英雄名字的片子，还是要用化名呢，用英雄们的本名不是更有代入感，更体现了让人们记者这些曾经默默无闻的英雄嘛。	5
贾里	看了预告片，极限海拔高度还有那么灵活的身手，你咋不上天呢？	7
Mr. Tang	这是老胡今年的第二部大银幕作品啦！	8
ふじわら ちか	导演的上一部是《盗墓笔记》…这一部估计6字头吧	2
马达君	看了预告真的是一言难尽，不由得想到刘慈欣的“山在那，总会有人去登的”，全人类（全宇宙？）的探索精神碰上京式定位宣传......不可说不可说....	4
4.1	是中国版《极盗者》？还是《攀登梅鲁峰 》？让我们拭目以待。	3
北海之泉	共和国万岁！	7
wokou5	这两年电影市场势头很好，至少那种大烂片是没多少人愿意浪费时间看了，若是好片必定全家支持	5
雷鬼音乐不死	我不说假话，我再怎么讨厌吴京，他的每部片子我都交钱。所以我先行为敬了！	6
⣿⣿⣿⣿⣿⣿⢟⣡⣴⣶⣶⣦⣌⡛	1.发现是阿来编剧，突然就想看了。 2.真实事件改编。3。徒手攀岩能得8.9分我不信这个会比它差（不过导演之前拍的盗墓笔记真的很难看啊……）	4
范迪塞尔	看导演以前作品还行吧，期待豆瓣伙伴们的试水评分	3
木奇。	李仁港搞这个片子很人纠结……	3
流泪阿猫	世界人民大团结万岁	3
墨梁	阿来比演员更有吸引力啊，尘埃落定很奇妙的故事。	6
Lobgran	章子怡今天开拍的戏。这个阵容。。。除了导演都很强，编剧还是阿来	7
lalala	本来以为是讲攀登啥的，结果是讲爱国。虽然爱国也挺好的，但和我想象的不一样...	1
晓思丽英	成龙客串	2
亚露	这个电影是点菜方式点演员嘛。。。。	1
冥王星来客1993	喜欢。正能量。	6
期君若虹	国庆档的几部电影都很错啊，一个一个慢慢看，还可以多刷，支持爱国	1
粮草先行	吴京的电影我大概率会去看一哈~	3
二力杆儿	说实话我更期待电视剧，但是支持老胡。	5
乌龙的emma	妈呀 吴京和章子怡和张译  这三个人加起来就是想看	2
ThanksGIF	看点映反馈好像很不错的亚子，吴京要封神了么	3
彬彬少年	我的天，这个阵容真是神仙阵容啊。	6
轻如纸张	正常水准拍出来就可以了，期待成为一部好片！	4
原州刺史	不被人妒是庸才。
反正我是要去影院的。	3
Easzariah_SH	不知道为什么已迷上门口那吴师傅	2
海淀动物园园长	编剧还是比较靠谱的	3
说的对啊	我就不信还会有飞碟帽。	3
小强	为吴京而看	4
七叶子SAMA、🎐	因为张译吴京所以想看	3
沈炼	章子怡	2
魔物猎人kana酱	当刘培强中校历尽千辛万苦，要在顶峰留下中国🇨🇳人的第一个脚印时，却发现王石王总穿着登山装，已经等他很久了——“在顶峰之上，还有更广阔的世界！人类啊！跟我来！”	7
MAO	期待毛像	10
隋边瞅	哈哈哈哈，我的妈呀。。。	2
吃瓜达达	要素过多	2
Wait	好期待好期待好期待！	2
北影厂彪哥	默认四星	3
卖女孩的老蘑菇	预告愣是给我看出了一种流浪地球的感觉哈哈哈 章子怡这个镜头，不行。	2
一个人的角落	jiu	2
殇♛璃	导演是李仁港，电影的质量没有保障啊。。。	4
晨曦	看到导演我很心慌啊，又见飞碟帽？	3
我爱银	主席像不能少	3
对你爱不完	预告差强人意。	2
Mr Bond	要 素 察 觉         要 素 过 多	6
147号废话星球	张译	3
爱思考的美少女	演员阵容太无敌，只是这个导演嘛……	5
金枪小帅	国魂吴京先生又带着外挂来扫票房啦！	2
瓦力	看冷锋攀登冷峰！	1
白雪火锅	看了一下9月30日的课表，早上毛概后正好有时间去看！张译我来了！太期待了！	5
各种迷糊	爱国、敬业、自我牺牲精神，很震撼。	0
TLS	找李仁港来拍是个败笔，看看他这几年的电影，槽点满满	2
Druid	这导演都没两部上6分的电影..还有为啥姓井的能排第一个	3
axeoj	嗯？	2
唐小雨	国际张是个什么鬼	3
无言独上西楼	吴京一次又一次的证明他不只是战狼！	8
渺小	有胡歌诶  这演员阵容逆天了	8
周期性神经质	当年语文书上登珠峰的故事，茅奖得主阿来编剧……我就先标为敬了。	7
VeryBerry	求求你们，一定一定一定要拍好，要拍成《战狼3》、《流浪地球2》，要比它们还好。这一次，东风一定要压倒西风	10
僚机	在大学登山队打酱油的时候没少嗑攀登珠峰的故事，希望能把国家登山队7+2和轮14座的故事慢慢都拍出来。	1
糖晓鹏灬	没有鹿晗吴亦凡杨颖黄晓明 爽	6
未央	目前来说，阵容还不错。	3
Btooth	李仁港这几年就没拍过好看的电影	2
K。	必看	1
JayWong	这阵容，除了导演，其他都满意	5
张学文	五星预定，看演职人员群星荟萃，希望在国庆档上映	3
[已注销]	这个阵容全喜欢。真虎。	5
诚诚公子	为了至高无上的使命，冲锋！！！（啥时候上画？五星买爆！）	4
白诗古语	期待	2
真好	超级期待	2
曾	阵容太好了吧	3
喵喵的喵	预告很不错呀	3
已注销	这个演员阵容有点给力，就是导演有点不放心	5
乌有卿	最喜欢的演员全都到这儿来了	3
朱诺	只看文字就热泪盈眶了！但愿电影更好看！我会推荐给学生，我会带全家人去看！	4
嫣然一笑百花迟	期待好久了 等你呀	2
了无歌	胡歌+张译+吴京，这阵容没谁了	7
😮😮😮	演员神仙阵容，导演看着吓人	4
紀念日	徐克	2
喜剧之王	看到“张译”就有想去看的冲动！！！	3
flanders	我要看半身像和揍藏独	3
拎壶冲	卡司迷人	2
snowsun	目测好看	4
yanzidu	单单吴京那一跳估计就能迎来过亿人观看	2
呜呜	据我估计最低三十亿票房！近几年我发现中国电影不追求流量而追求质量了，很棒加油	4
花裤衩君	记录一下吧，我是第2000个想看的，也是有意义了	2
忘其名	看到导演编剧是李仁港
还是降低点期待值吧
他最适合拍的还是武侠剧	4
此人不存在	就冲这阵容也得去电影院支持一下	1
九和	好久不见子怡作品啊	5
铁人.千万遍	坐等胡歌再一次升华~~加油！！	7
skateky	卡司绝了，貌似有生以来系列。。。	4
我要养一条大狗	这个导演2000年以后就再没有超过7分的电影	3
雒侑琳	有吴京感觉又能爆。。	2
[已注销]	带着五星红旗和伟人半身像成功登顶	5
夜曦如梦	吴京主演，必属精品	3
又是社畜的一天	Jbr是什么鬼…有他总感觉不会是什么好片…	3
宁夏	有章子怡必扑街	1
大大雨	对电影没兴趣！《绝命海拔》更是我喜欢的类型。对主旋律题材不太感冒。最重要的是很想看张译的演技	0
tot	这位导演也算是导演界的资源咖了吧，没有代表作，票房评分都不出色，但是每次拍戏都一堆大咖助阵	1
腕骨	我就怕导演功力和剧本不行……拿出专业素养，不要白瞎了演员啊	1
风过云不回	作为一部登山冒险题材的大片，视听体验必须相当震撼，令人有身临其境之感，而《攀登者》是由华语影坛的技术先锋徐克监制动作设计与视效，必须期待。
有了他的把关，《攀登者》的视效稳了。虽然目前的预告片给予的信息有限，但从预告片中雪崩的镜头、吴京最后飞身鱼跃跨越裂缝等几个镜头，已经冲击力十足，在大银幕上观看时，这种视觉冲击力肯定还会几何倍放大。	2
CLF起得一手好名	想看是想看 但看到导演我的心已经凉了半截 拜托 导演上一部7分以上的电影都是20年前的事了 这么重要的片子认真一点做好吗？	4
鲜肉兄	人生也是一座山，我一定要爬到顶峰！	0
王北平	井柏然……有点不放心啊……	4
Stephen Jonh	据说还有胡歌，但是李仁港导演拍的，真是隐隐担忧，看他过往的作品没几部高分的	4
甜甜圈	有吴京 想带全家去看	1
[已注销]	期待至极，没有太祖我就只给三星。	3
南国椰风	期待！	3
已注销	井柏然一番？	2
昨之回忆	这个也有些期待～	1
lll	导演劝退	1
槛外人	很慌，，，	3
yu.1990	占个座，阿来的编剧 超期待	4
想睡回笼觉	虽然导演目前看来emmm…但是流浪地球之前，我们不也是看着这位同样拍出过《同桌的你》导演唉声叹气么？	3
橱窗外的大怪兽	老胡	6
姑射山草木	期待，加油!	1
已注销	本吴京粉丝表示，编剧阿来非常ok，李仁港我觉得不可以。。。	3
蜡树orsay	胡歌又来	5
我就是一个杠精	来吧	2
麦田的守望者	歌唱我们伟大的祖国	2
婙	推广曲《如虹》真的好好听啊，可以感受到一点这个电影呢基调。期待。	2
Egorka	zzy证明自己不是票房毒药的时候到了！	1
Ben	国庆三巨头	0
冰阔落	很期待，之前在看纪录片（好像是，不确定有点像是访谈）的时候就被震撼到了。当时还拿着毛主席的雕像放在珠峰顶。	6
坠露轻尘	心往一处想，劲往一处使，就能实现我们的梦想。	2
凛可爱	把导演名字改成吴京吧！票房能增值50亿	3
Cecilia	珠穆朗玛峰啊，牛逼了	0
与你相约。	期待，大国崛起之攀登	3
Chloris	按史实拍就五星，含含糊糊或者少了什么就一星。	2
世间	国家重点项目，小小期待一下，阵容够强大。	3
苍穹的幻想	导演你有本事再整出个飞碟帽我给你五星	0
了茕	...顶配+软壳…预告片就浮夸的不行……	2
俗人	这导演的片我看过几个、很中二…但是演员阵容不赖…	2
Masen	期待	2
沉潮	期待	1
杨家栋	期待一下吧，国庆有事情做了	2
刁民丶	全是实力派	4
