author	comment	vote	情感评分
糯米叶	看了一下那个导演历年作品我好慌啊出了名的喜欢胡编历史，希望他能老老实实还原小学语文课本里那篇课文的全部内容??	279.0	0.999901255191498
鸟飞	光看演员阵容还行，都是会挑片子的演员	3.0	0.9998953549618234
西门雪	攀登珠峰北坡，多么艰难的举动啊！看似不可能完成的任务，硬是给中国登山队给完成了。其中的凶险，想着都怕，能够在大荧幕前看到如此壮举，实属难得！相当期盼！	0.0	0.9998912384875861
青梅醅雪	期待。上一次让人感觉蛮爽的李仁港电影是2011年的鸿门宴传奇，希望李导这次手握钦点演员阵容的片子能找回他二十年前的水平吧	3.0	0.9998248738696908
VeryBerry	求求你们，一定一定一定要拍好，要拍成《战狼3》、《流浪地球2》，要比它们还好。这一次，东风一定要压倒西风	10.0	0.9998020253438815
王青山	李仁港？一个根本没在那个年代呆过的香港导演能拍好吗？哪位大领导定的导演？监制还是徐克，我的天，个人英雄主义和集体英雄主义他分的清吗？还有就是，西藏平叛还拍不拍，半身像还拿不拿？不看好。	6.0	0.9997515132699392
旻子纪	期待着这部电影 期待着每一次电影院见的机会 一定很有力量 我很期待	2.0	0.9997326668970866
Mr.Time	就这个阵容，30亿票房保底。预告片剪得很好，要是导演编剧故事讲得好，40亿票房没问题	1.0	0.9997138429351637
idouban	李大导演，求你好好照着历史来拍就ok了，别瞎改编瞎煽情，加一堆动作戏。看着预告片里有一幕，有个登山队员在雪山上飞身一跃，就觉得这片够科幻的了。齐膝深的雪里，动作幅度该都很小吧，还能跳这么高，这么远？！	0.0	0.9996677729000074
朱诺	只看文字就热泪盈眶了！但愿电影更好看！我会推荐给学生，我会带全家人去看！	4.0	0.9996662593550383
悟空溜溜	李仁港的处女作《独臂刀之情》非常惊艳，小时候在央6看了，记忆深刻。后来的《阿虎》也不错。北上之后，水准滑坡，不知道能否迎来翻身仗。	0.0	0.9996651356483299
逆江、雨	励志！信念！朴实是一部好电影的开始！	0.0	0.9996053962186819
蓝鹰之舞	看过垂直极限和珠峰清道夫，家姐和姐夫也都是业余登山运动员，每次他们出门我的邮箱都会收到一封意外保险，不理解不支持他们的行动，但是心底始终默默为他们祝福平安。	2.0	0.9995805287205565
Keleian	很棒的题材，有实力的制作班底和演员，期待！！！	2.0	0.9995245124672654
严大侠	抖音上看到的，想看！演员阵容可以的，不过看看导演以前的电影，额……我想如果让林超贤导演会更好！	0.0	0.9994384910898326
纳兰风澈	神仙阵容啊！英国探险家乔治·马洛里，他曾在被问到为何想要攀登珠穆朗玛峰时颇有禅意的说：因为它，就在那！	4.0	0.9993095416101441
一夏经年	演员阵容很强，徐克保驾护航，预告差点意思，特效感觉五毛，希望正片能带来惊喜	2.0	0.9993060509918564
友人	强大阵容，优秀演员	1.0	0.9992241424436914
半生吃鱼	看这阵容，再看这阵容近年来的选剧本能力，保底7分的电影吧	2.0	0.9991648798961905
三十七度二	我能想象到电影一上映会有各种评价。但是我一如既往地支持吴京。虽然我不是他的粉，我只是喜欢看他的有质量的电影。	3.0	0.9991490060374408
erikcai	吴京章子怡胡歌 导演对各个观影群体的coverage很明确啊	1.0	0.9991207753417825
鲁人鲁话	要么不拍，要拍就拍好。那个时代有很多激动人心的伟大成就，需要优秀的影视剧把它们表现出来。至于张艺谋之流那些哭哭啼啼卖惨的片子 ，反正我已经看恶心了，谁爱看谁看。	5.0	0.9989843076538871
黄岛	看着李导演拍过的片，心里不由得犯嘀咕，乐观点说，人是在发展变化的，再给你一次机会，哈哈，话说我有剧本不知道谁能拍	2.0	0.9988703113817186
浮尘	真实历史改编，非常期待，希望有出色的成绩。	0.0	0.9988647336228509
爱思考的美少女	演员阵容太无敌，只是这个导演嘛……	5.0	0.9988543534056988
哦都开。。	说句实话流浪地球我看的睡着了，战狼2我觉得还是湄公河行动好看，对于吴京电影我也不是很期待	164.0	0.998842949403054
求睡！只求被睡	首先要有人科普一下，为什么要攀登，好吧！突如其来的题材，挂上爱国的口号，真的有点别扭，	0.0	0.9988104011848752
求睡！只求被睡	首先要有人科普一下，为什么要攀登，好吧！突如其来的题材，挂上爱国的口号，真的有点别扭，	0.0	0.9988104011848752
俗人	这导演的片我看过几个、很中二…但是演员阵容不赖…	2.0	0.9987868688530381
僚机	在大学登山队打酱油的时候没少嗑攀登珠峰的故事，希望能把国家登山队7+2和轮14座的故事慢慢都拍出来。	1.0	0.998769607658215
墨梁	阿来比演员更有吸引力啊，尘埃落定很奇妙的故事。	6.0	0.9987132913503508
路过熊猫	编剧、演员、故事题材都没问题，完全是冲着精品去的，但是李仁港大导演实在是最大的不确定因素啊，毕竟到目前为止还没有拍出一部真正拿的出手的作品。	1.0	0.9986547758425622
fxiaom	以人类羸弱肉躯挑战大自然，本身就是一间值得尊重的事	0.0	0.9986241671222106
各种迷糊	爱国、敬业、自我牺牲精神，很震撼。	0.0	0.9986188864764941
嬉皮笑脸	英雄的故事，非常喜欢，就是不放心导演啊。	1.0	0.9985583941001328
想睡回笼觉	虽然导演目前看来emmm…但是流浪地球之前，我们不也是看着这位同样拍出过《同桌的你》导演唉声叹气么？	3.0	0.9985266595707509
世间	国家重点项目，小小期待一下，阵容够强大。	3.0	0.9984648640279923
溺水的鱼	吴京出品，必属精品。相信吴京的眼光！	4.0	0.9983764937555296
夏小屿	很期待这部片子，本来的故事就很好，只是担心导演能否驾驭这个题材。希望是今年最后一个季度的大爆片。	1.0	0.9983374539550166
呜呜	据我估计最低三十亿票房！近几年我发现中国电影不追求流量而追求质量了，很棒加油	4.0	0.9981127896426001
晖	全新的题材，希望导演不要辜负这么好的档期和这么强大的阵容	2.0	0.9981003155329494
Lobgran	章子怡今天开拍的戏。这个阵容。。。除了导演都很强，编剧还是阿来	7.0	0.9980371883552591
瑟僴	预告片依旧是与流浪地球类似的网游特效，希望剧情也别一样地用些不必要的“中国特色”画蛇添足	2.0	0.9979284293765681
拒绝尬演	啊啊啊啊啊啊啊啊，预告片我胡的声音好有磁性，爱了	2.0	0.9979211989169448
细九	吴京，中国主旋律电影之王	9.0	0.9975480427304652
直木	不管怎么样都很期待，希望国内也能拍出好看的登山电影。。。一定支持	3.0	0.9974289106826525
Xiiiing	主旋律电影有吴京，就有了票房保障	0.0	0.997371986097732
巍巍一笑很倾城	本来8844.43对我而言只是冰冷的知识点而已，看了电影背后的历史故事，好想哭??????	0.0	0.9973479902423737
天井上	不知道这么多演员奶的动导演吗	22.0	0.9970340916290739
子天	看了一下导演之前的作品，平均分6.5左右，而且之前圈钱十亿的大烂片《盗墓笔记》也是他拍的。		0.9970116760888661
善待傻瓜好吗	许愿大爆，许愿好看 成龙接剧本不敢评价，子怡和吴京大概还是有水准的吧（……	2.0	0.996284308846644
留白	演员阵容井柏然格格不入...	3.0	0.9961788813617902
魔仙堡保安队长	根据我国真实事件改编，带上爸妈一起去看	0.0	0.9960773602903238
lalala	本来以为是讲攀登啥的，结果是讲爱国。虽然爱国也挺好的，但和我想象的不一样...	1.0	0.9959447322166721
婙	推广曲《如虹》真的好好听啊，可以感受到一点这个电影呢基调。期待。	2.0	0.9955820504885614
ThanksGIF	看点映反馈好像很不错的亚子，吴京要封神了么	3.0	0.9954702548637395
U型锁再立功	本片背后如果没有North Face无私赞助 我表示这个牌子可以去死了 哈哈哈	6.0	0.9953534045896439
冰阔落	很期待，之前在看纪录片（好像是，不确定有点像是访谈）的时候就被震撼到了。当时还拿着毛主席的雕像放在珠峰顶。	6.0	0.9952558713895441
望鹿的时间	李仁港……这导演……拍的电影里都有中二感，跟成龙合作过，不会是成龙推荐的吧……真是令人心中无底	4.0	0.9952498646333461
蒋校长大战太祖	阿来作为编剧我感觉剧本会很靠谱，毕竟也是真人真事改编的，不过这个导演以前的作品，总让我感觉不太放心啊。	3.0	0.9952061964020408
千亦	题材喜欢，演员喜欢，期待	0.0	0.9950270494921356
ACE	题材好、演员好、卖相好，但是导演李仁港真的让人惴惴不安，被他带跑偏的演员不是一批两批了，有待观望！！！	0.0	0.9947602740286001
邓一南37	1981女排纪录片 拼搏，给女排做报告的 沈洁。 攀登珠峰。	0.0	0.9946563395655998
污首阁下	不知道怎么样，李仁港近几年导演的电影，票房还行，但是口碑真的一般，但愿这部有改观吧。	9.0	0.9945782828951175
再见淡淡	张译张译，都是实力演员，镜头配音充满期待	1.0	0.9944644024748163
幽若/ty	这个阵容和故事很期待。这个导演看着好怕怕	664.0	0.994433147978492
轩宇	有章子怡瞬间就不想看了	2.0	0.9934134379067844
站在远处看世界	演员阵容认人期待，导演让人心慌，坐等打脸！	0.0	0.9929113913676896
